userId,startDate,endDate,projectId,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,total
JMAN379,08-01-2024,14-01-2024,PROJ13614,3,8,4,6,7,10,7,4,10,2,61
JMAN379,08-01-2024,14-01-2024,PROJ13614,1,10,7,9,6,6,7,10,3,3,62
JMAN379,08-01-2024,14-01-2024,PROJ13614,5,4,4,1,10,1,8,6,9,3,51
JMAN379,08-01-2024,14-01-2024,PROJ13614,7,5,6,9,6,5,5,7,1,3,54
JMAN379,08-01-2024,14-01-2024,PROJ13614,6,8,3,8,10,7,9,4,5,10,70
JMAN379,15-01-2024,21-01-2024,PROJ13614,6,4,10,7,1,7,7,5,2,9,58
JMAN379,15-01-2024,21-01-2024,PROJ13614,3,2,7,7,8,9,3,9,8,1,57
JMAN379,15-01-2024,21-01-2024,PROJ13614,8,9,8,9,5,4,9,7,5,6,70
JMAN379,15-01-2024,21-01-2024,PROJ13614,10,5,6,6,7,7,9,6,5,1,62
JMAN379,15-01-2024,21-01-2024,PROJ13614,8,6,3,10,10,6,3,8,2,1,57
JMAN379,22-01-2024,28-01-2024,PROJ13614,10,10,10,9,1,3,7,6,1,2,59
JMAN379,22-01-2024,28-01-2024,PROJ13614,5,4,3,9,10,9,5,10,10,9,74
JMAN379,22-01-2024,28-01-2024,PROJ13614,6,4,8,1,8,8,9,2,1,10,57
JMAN379,29-01-2024,04-02-2024,PROJ13614,1,10,7,1,8,7,6,10,6,4,60
JMAN379,29-01-2024,04-02-2024,PROJ13614,9,2,3,6,10,7,3,4,5,2,51
JMAN379,29-01-2024,04-02-2024,PROJ13614,8,8,10,1,1,2,1,10,2,7,50
JMAN379,29-01-2024,04-02-2024,PROJ13614,10,3,2,4,5,6,5,10,8,1,54
JMAN379,29-01-2024,04-02-2024,PROJ13614,5,3,3,5,4,6,1,5,6,10,48
JMAN379,05-02-2024,11-02-2024,PROJ13614,9,10,3,3,9,9,1,5,3,9,61
JMAN379,05-02-2024,11-02-2024,PROJ13614,7,10,9,5,10,10,9,2,6,1,69
JMAN379,05-02-2024,11-02-2024,PROJ13614,1,5,9,3,9,1,5,4,1,1,39
JMAN379,05-02-2024,11-02-2024,PROJ13614,6,2,8,5,1,4,5,3,10,9,53
JMAN379,05-02-2024,11-02-2024,PROJ13614,8,8,5,5,4,8,7,4,7,8,64
JMAN379,12-02-2024,18-02-2024,PROJ13614,10,1,6,4,8,5,1,6,6,6,53
JMAN379,12-02-2024,18-02-2024,PROJ13614,9,1,10,7,5,7,7,5,1,6,58
JMAN379,12-02-2024,18-02-2024,PROJ13614,5,3,2,1,1,9,5,8,6,8,48
JMAN379,12-02-2024,18-02-2024,PROJ13614,5,1,6,1,1,10,2,5,10,4,45
JMAN379,19-02-2024,25-02-2024,PROJ13614,5,4,1,8,6,3,4,7,2,10,50
JMAN379,19-02-2024,25-02-2024,PROJ13614,9,1,2,4,10,3,7,3,10,4,53
JMAN379,19-02-2024,25-02-2024,PROJ13614,5,6,4,2,10,2,7,3,6,10,55
JMAN379,19-02-2024,25-02-2024,PROJ13614,4,8,7,10,5,10,10,9,2,10,75
JMAN379,19-02-2024,25-02-2024,PROJ13614,1,9,3,3,5,9,4,3,8,3,48
JMAN379,26-02-2024,03-03-2024,PROJ13614,7,6,1,7,9,1,2,5,9,1,48
JMAN379,26-02-2024,03-03-2024,PROJ13614,3,1,9,1,10,8,3,1,5,5,46
JMAN379,26-02-2024,03-03-2024,PROJ13614,3,8,1,4,6,10,2,9,7,6,56
JMAN379,04-03-2024,10-03-2024,PROJ13614,7,2,4,9,4,9,9,6,9,7,66
JMAN379,04-03-2024,10-03-2024,PROJ13614,1,2,8,10,6,2,7,10,6,3,55
JMAN379,04-03-2024,10-03-2024,PROJ13614,9,8,9,4,9,4,9,1,8,4,65
JMAN379,04-03-2024,10-03-2024,PROJ13614,5,9,1,2,2,6,3,4,8,2,42
JMAN379,04-03-2024,10-03-2024,PROJ13614,6,9,9,2,2,3,3,6,8,2,50
JMAN678,05-02-2024,11-02-2024,PROJ13614,9,9,9,6,1,9,10,7,9,10,79
JMAN678,05-02-2024,11-02-2024,PROJ13614,5,6,2,6,7,10,6,1,7,7,57
JMAN678,05-02-2024,11-02-2024,PROJ13614,5,10,8,9,8,1,9,3,6,4,63
JMAN678,12-02-2024,18-02-2024,PROJ13614,5,5,5,5,10,7,8,10,9,9,73
JMAN678,12-02-2024,18-02-2024,PROJ13614,8,4,9,1,5,6,6,9,4,1,53
JMAN678,12-02-2024,18-02-2024,PROJ13614,4,9,6,1,7,3,5,3,3,4,45
JMAN678,12-02-2024,18-02-2024,PROJ13614,7,8,2,4,5,10,9,4,1,1,51
JMAN678,19-02-2024,25-02-2024,PROJ13614,6,6,9,6,5,2,8,7,9,4,62
JMAN678,19-02-2024,25-02-2024,PROJ13614,8,3,6,5,3,8,6,9,9,9,66
JMAN678,19-02-2024,25-02-2024,PROJ13614,9,3,7,9,7,8,2,6,4,1,56
JMAN678,19-02-2024,25-02-2024,PROJ13614,9,6,10,2,2,5,7,7,4,10,62
JMAN678,19-02-2024,25-02-2024,PROJ13614,7,4,4,2,7,5,7,7,1,2,46
JMAN678,26-02-2024,03-03-2024,PROJ13614,7,1,9,1,2,9,6,1,9,3,48
JMAN678,26-02-2024,03-03-2024,PROJ13614,10,2,10,6,7,1,5,3,5,3,52
JMAN678,26-02-2024,03-03-2024,PROJ13614,4,7,1,10,9,5,5,10,5,3,59
JMAN678,26-02-2024,03-03-2024,PROJ13614,5,6,9,10,10,2,6,10,10,4,72
JMAN678,26-02-2024,03-03-2024,PROJ13614,10,9,4,1,3,7,4,1,1,10,50
JMAN678,04-03-2024,10-03-2024,PROJ13614,2,10,5,3,6,2,4,1,3,6,42
JMAN678,04-03-2024,10-03-2024,PROJ13614,5,4,2,9,4,2,3,4,3,9,45
JMAN678,04-03-2024,10-03-2024,PROJ13614,10,4,8,2,8,10,7,10,5,7,71
JMAN678,04-03-2024,10-03-2024,PROJ13614,2,5,6,2,4,3,8,5,2,9,46
JMAN678,04-03-2024,10-03-2024,PROJ13614,8,4,3,2,7,9,6,5,2,1,47
JMAN678,11-03-2024,17-03-2024,PROJ13614,5,5,7,3,5,6,5,2,10,1,49
JMAN678,11-03-2024,17-03-2024,PROJ13614,8,8,8,7,9,1,4,9,1,10,65
JMAN678,18-03-2024,24-03-2024,PROJ13614,1,10,8,2,3,1,5,2,6,6,44
JMAN678,18-03-2024,24-03-2024,PROJ13614,10,8,3,9,8,9,8,2,6,2,65
JMAN678,18-03-2024,24-03-2024,PROJ13614,8,7,6,7,6,7,8,6,6,6,67
JMAN678,18-03-2024,24-03-2024,PROJ13614,2,4,7,5,7,7,4,4,6,4,50
JMAN106,28-08-2023,03-09-2023,PROJ42339,10,2,3,8,7,7,6,3,3,3,52
JMAN106,28-08-2023,03-09-2023,PROJ42339,4,8,10,9,7,3,7,2,1,9,60
JMAN106,28-08-2023,03-09-2023,PROJ56026,6,3,3,9,2,9,1,9,3,7,52
JMAN106,28-08-2023,03-09-2023,PROJ56026,1,10,4,6,2,3,6,9,4,4,49
JMAN106,28-08-2023,03-09-2023,PROJ42339,6,3,5,7,7,2,5,8,5,9,57
JMAN106,04-09-2023,10-09-2023,PROJ56026,3,7,2,8,3,5,1,8,3,7,47
JMAN106,04-09-2023,10-09-2023,PROJ56026,5,7,4,4,5,10,6,1,10,6,58
JMAN106,04-09-2023,10-09-2023,PROJ42339,9,4,1,5,7,5,3,3,2,3,42
JMAN106,11-09-2023,17-09-2023,PROJ42339,9,10,8,2,10,2,6,8,7,2,64
JMAN106,11-09-2023,17-09-2023,PROJ42339,2,9,9,3,4,1,3,5,6,3,45
JMAN106,11-09-2023,17-09-2023,PROJ56026,7,1,4,9,8,8,4,1,10,8,60
JMAN106,11-09-2023,17-09-2023,PROJ56026,5,10,8,3,2,2,2,9,8,5,54
JMAN106,18-09-2023,24-09-2023,PROJ42339,1,2,9,7,4,2,5,1,10,1,42
JMAN106,18-09-2023,24-09-2023,PROJ56026,8,7,9,10,4,9,6,4,3,9,69
JMAN106,18-09-2023,24-09-2023,PROJ42339,6,1,9,9,7,6,8,9,4,7,66
JMAN106,18-09-2023,24-09-2023,PROJ56026,6,4,9,1,4,10,9,4,10,6,63
JMAN106,18-09-2023,24-09-2023,PROJ42339,3,6,4,10,8,2,3,6,3,8,53
JMAN106,25-09-2023,01-10-2023,PROJ56026,3,9,6,3,8,2,2,1,5,1,40
JMAN106,25-09-2023,01-10-2023,PROJ42339,1,7,4,6,3,9,10,1,7,7,55
JMAN106,25-09-2023,01-10-2023,PROJ56026,2,1,4,1,8,9,5,7,5,2,44
JMAN106,02-10-2023,08-10-2023,PROJ42339,8,7,4,7,10,6,2,7,6,5,62
JMAN106,02-10-2023,08-10-2023,PROJ42339,7,8,3,9,10,8,10,7,6,9,77
JMAN106,02-10-2023,08-10-2023,PROJ42339,9,1,3,2,7,2,3,10,5,3,45
JMAN106,09-10-2023,15-10-2023,PROJ42339,8,6,2,8,8,10,1,6,5,2,56
JMAN106,09-10-2023,15-10-2023,PROJ56026,4,4,3,8,9,10,2,1,1,3,45
JMAN106,09-10-2023,15-10-2023,PROJ42339,3,4,8,10,2,7,1,1,7,3,46
JMAN106,09-10-2023,15-10-2023,PROJ42339,7,1,6,9,10,6,7,9,1,1,57
JMAN106,09-10-2023,15-10-2023,PROJ56026,8,9,7,1,5,5,1,1,8,3,48
JMAN106,16-10-2023,22-10-2023,PROJ42339,9,5,6,3,10,2,5,2,4,8,54
JMAN106,16-10-2023,22-10-2023,PROJ56026,9,7,9,10,1,8,1,7,5,6,63
JMAN106,23-10-2023,29-10-2023,PROJ56026,4,6,6,10,2,8,2,10,2,5,55
JMAN106,23-10-2023,29-10-2023,PROJ56026,2,6,2,3,4,8,5,3,5,5,43
JMAN106,23-10-2023,29-10-2023,PROJ56026,6,6,7,3,9,5,10,8,10,9,73
JMAN106,23-10-2023,29-10-2023,PROJ42339,7,9,4,6,8,5,1,2,7,9,58
JMAN468,04-09-2023,10-09-2023,PROJ54713,4,1,3,4,4,5,6,5,4,9,45
JMAN468,04-09-2023,10-09-2023,PROJ54713,9,3,10,5,7,7,10,4,6,5,66
JMAN468,04-09-2023,10-09-2023,PROJ54713,2,10,1,6,6,2,10,4,9,4,54
JMAN468,04-09-2023,10-09-2023,PROJ54713,10,2,2,1,9,4,1,9,3,8,49
JMAN468,04-09-2023,10-09-2023,PROJ54713,6,6,7,9,2,5,5,5,3,3,51
JMAN468,11-09-2023,17-09-2023,PROJ54713,9,5,3,10,3,1,1,5,3,6,46
JMAN468,11-09-2023,17-09-2023,PROJ54713,10,4,5,6,2,10,2,3,7,3,52
JMAN468,11-09-2023,17-09-2023,PROJ54713,10,3,2,8,3,8,7,6,9,7,63
JMAN468,11-09-2023,17-09-2023,PROJ54713,7,1,8,2,8,8,7,8,1,5,55
JMAN468,11-09-2023,17-09-2023,PROJ54713,3,8,10,5,2,1,1,9,7,6,52
JMAN468,18-09-2023,24-09-2023,PROJ54713,4,9,6,2,8,1,1,10,4,4,49
JMAN468,18-09-2023,24-09-2023,PROJ54713,8,7,7,1,8,3,1,2,10,4,51
JMAN468,18-09-2023,24-09-2023,PROJ54713,10,4,7,8,9,8,10,9,6,3,74
JMAN468,18-09-2023,24-09-2023,PROJ54713,9,6,6,10,5,6,8,9,1,10,70
JMAN468,18-09-2023,24-09-2023,PROJ54713,8,8,2,1,10,6,4,2,2,3,46
JMAN468,25-09-2023,01-10-2023,PROJ54713,8,6,4,4,10,7,3,6,2,1,51
JMAN468,25-09-2023,01-10-2023,PROJ54713,9,6,1,1,2,10,6,10,4,10,59
JMAN468,02-10-2023,08-10-2023,PROJ54713,8,2,3,1,7,8,5,4,8,5,51
JMAN468,02-10-2023,08-10-2023,PROJ54713,4,1,1,4,7,6,10,9,6,5,53
JMAN468,02-10-2023,08-10-2023,PROJ54713,3,5,2,8,1,9,4,10,5,2,49
JMAN468,09-10-2023,15-10-2023,PROJ54713,2,2,1,4,4,8,5,6,2,6,40
