projectId,userId,startDate,endDate
PROJ42282,JMAN379,10/01/24,10/03/24
PROJ42282,JMAN159,21/09/23,20/11/23
PROJ42282,JMAN44,05/07/24,03/09/24
PROJ42282,JMAN904,18/06/24,17/08/24
PROJ42282,JMAN577,27/08/24,26/10/24
PROJ42282,JMAN553,29/09/23,28/11/23
PROJ42282,JMAN860,24/02/24,24/04/24
PROJ42282,JMAN659,08/08/24,07/10/24
PROJ42282,JMAN580,21/08/24,20/10/24
PROJ42282,JMAN993,14/02/24,14/04/24
PROJ42282,JMAN22,04/01/24,04/03/24
PROJ42282,JMAN678,11/02/24,11/04/24
PROJ42282,JMAN728,26/08/24,25/10/24
PROJ42282,JMAN602,05/05/24,04/07/24
PROJ42282,JMAN929,09/03/24,08/05/24
PROJ42282,JMAN282,31/10/23,30/12/23
PROJ42282,JMAN23,22/06/24,21/08/24
PROJ42282,JMAN882,24/02/24,24/04/24
PROJ42282,JMAN543,24/02/24,24/04/24
PROJ42282,JMAN894,24/05/24,23/07/24
PROJ42282,JMAN472,18/04/24,17/06/24
PROJ42282,JMAN417,08/01/24,08/03/24
PROJ42282,JMAN12,10/08/24,09/10/24
PROJ42282,JMAN991,17/11/23,16/01/24
PROJ42282,JMAN413,22/08/23,21/10/23
PROJ42282,JMAN106,31/08/23,30/10/23
PROJ42282,JMAN174,30/07/23,28/09/23
PROJ42282,JMAN111,26/09/24,25/11/24
PROJ42282,JMAN892,24/03/24,23/05/24
PROJ42282,JMAN444,08/08/24,07/10/24
PROJ42282,JMAN706,27/07/24,25/09/24
PROJ42282,JMAN798,05/08/23,04/10/23
PROJ42282,JMAN56,07/05/24,06/07/24
PROJ42282,JMAN249,13/03/24,12/05/24
PROJ42282,JMAN930,28/04/24,27/06/24
PROJ42282,JMAN614,25/06/24,24/08/24
PROJ42282,JMAN275,10/08/24,09/10/24
PROJ42282,JMAN304,12/11/23,11/01/24
PROJ53767,JMAN406,27/10/23,26/12/23
PROJ53767,JMAN693,15/07/23,13/09/23
PROJ53767,JMAN853,31/12/23,29/02/24
PROJ53767,JMAN123,05/10/23,04/12/23
PROJ53767,JMAN721,13/12/22,11/02/23
PROJ53767,JMAN644,29/09/23,28/11/23
PROJ53767,JMAN804,28/03/23,27/05/23
PROJ53767,JMAN992,25/11/22,24/01/23
PROJ53767,JMAN529,26/06/23,25/08/23
PROJ53767,JMAN271,28/11/22,27/01/23
PROJ53767,JMAN62,02/02/24,02/04/24
PROJ53767,JMAN479,09/03/23,08/05/23
PROJ53767,JMAN219,04/03/23,03/05/23
PROJ53767,JMAN937,08/09/23,07/11/23
PROJ53767,JMAN983,31/12/22,01/03/23
PROJ53767,JMAN15,08/02/23,09/04/23
PROJ53767,JMAN934,18/11/22,17/01/23
PROJ53767,JMAN369,02/12/22,31/01/23
PROJ53767,JMAN774,19/04/23,18/06/23
PROJ53767,JMAN52,26/01/24,26/03/24
PROJ53767,JMAN498,13/02/23,14/04/23
PROJ53767,JMAN802,29/06/23,28/08/23
PROJ53767,JMAN468,07/09/23,06/11/23
PROJ53767,JMAN705,09/01/23,10/03/23
PROJ53767,JMAN819,01/02/23,02/04/23
PROJ53767,JMAN700,28/09/23,27/11/23
PROJ53767,JMAN566,24/09/23,23/11/23
PROJ53767,JMAN995,13/06/23,12/08/23
PROJ53767,JMAN758,21/07/23,19/09/23
PROJ53767,JMAN981,08/10/23,07/12/23
PROJ53767,JMAN257,06/08/23,05/10/23
PROJ53767,JMAN506,31/12/22,01/03/23
PROJ53767,JMAN518,23/10/23,22/12/23
PROJ53767,JMAN504,22/11/22,21/01/23
PROJ53767,JMAN767,02/09/23,01/11/23
PROJ53767,JMAN863,15/11/23,14/01/24
PROJ53767,JMAN14,11/01/23,12/03/23
PROJ53767,JMAN976,01/05/23,30/06/23
PROJ34633,JMAN131,12/01/24,12/03/24
PROJ34633,JMAN849,06/10/23,05/12/23
PROJ34633,JMAN454,14/10/23,13/12/23
PROJ34633,JMAN853,08/08/24,07/10/24
PROJ34633,JMAN714,10/07/24,08/09/24
PROJ34633,JMAN114,19/04/24,18/06/24
PROJ34633,JMAN51,11/12/23,09/02/24
PROJ34633,JMAN308,04/12/23,02/02/24
PROJ34633,JMAN324,10/06/24,09/08/24
PROJ34633,JMAN619,29/06/24,28/08/24
PROJ34633,JMAN479,06/02/24,06/04/24
PROJ34633,JMAN689,08/12/23,06/02/24
PROJ34633,JMAN486,26/05/24,25/07/24
PROJ34633,JMAN37,03/09/23,02/11/23
PROJ34633,JMAN382,18/07/24,16/09/24
PROJ34633,JMAN327,23/05/24,22/07/24
PROJ34633,JMAN886,15/06/24,14/08/24
PROJ34633,JMAN135,16/04/24,15/06/24
PROJ34633,JMAN444,29/06/24,28/08/24
PROJ34633,JMAN174,28/02/24,28/04/24
PROJ34633,JMAN759,10/05/24,09/07/24
PROJ34633,JMAN31,21/10/23,20/12/23
PROJ34633,JMAN52,02/10/23,01/12/23
PROJ34633,JMAN819,30/12/23,28/02/24
PROJ34633,JMAN608,21/12/23,19/02/24
PROJ34633,JMAN918,28/05/24,27/07/24
PROJ34633,JMAN757,16/05/24,15/07/24
PROJ34633,JMAN257,01/05/24,30/06/24
PROJ34633,JMAN518,06/12/23,04/02/24
PROJ34633,JMAN298,06/03/24,05/05/24
PROJ34633,JMAN196,05/09/23,04/11/23
PROJ34633,JMAN506,27/09/23,26/11/23
PROJ34633,JMAN873,02/10/23,01/12/23
PROJ34633,JMAN14,06/04/24,05/06/24
PROJ34633,JMAN847,16/01/24,16/03/24
PROJ34633,JMAN374,30/05/24,29/07/24
PROJ34633,JMAN891,01/10/23,30/11/23
PROJ34633,JMAN564,19/09/23,18/11/23
PROJ17016,JMAN573,11/12/23,09/02/24
PROJ17016,JMAN577,11/09/24,10/11/24
PROJ17016,JMAN617,14/07/23,12/09/23
PROJ17016,JMAN313,05/08/23,04/10/23
PROJ17016,JMAN853,06/05/24,05/07/24
PROJ17016,JMAN991,16/07/23,14/09/23
PROJ17016,JMAN684,09/06/24,08/08/24
PROJ17016,JMAN62,19/01/24,19/03/24
PROJ17016,JMAN441,02/09/23,01/11/23
PROJ17016,JMAN608,01/04/24,31/05/24
PROJ17016,JMAN920,02/12/23,31/01/24
PROJ17016,JMAN704,03/07/24,01/09/24
PROJ17016,JMAN644,28/04/24,27/06/24
PROJ17016,JMAN502,24/08/24,23/10/24
PROJ17016,JMAN752,04/05/24,03/07/24
PROJ17016,JMAN112,21/08/23,20/10/23
PROJ17016,JMAN8,15/06/23,14/08/23
PROJ17016,JMAN886,10/02/24,10/04/24
PROJ17016,JMAN709,28/08/23,27/10/23
PROJ17016,JMAN646,08/09/23,07/11/23
PROJ17016,JMAN413,05/09/24,04/11/24
PROJ17016,JMAN659,16/08/23,15/10/23
PROJ17016,JMAN392,25/07/24,23/09/24
PROJ17016,JMAN115,30/11/23,29/01/24
PROJ17016,JMAN668,07/02/24,07/04/24
PROJ17016,JMAN918,30/10/23,29/12/23
PROJ17016,JMAN921,23/07/23,21/09/23
PROJ17016,JMAN578,01/02/24,01/04/24
PROJ17016,JMAN467,02/01/24,02/03/24
PROJ17016,JMAN275,30/06/24,29/08/24
PROJ17016,JMAN354,29/06/23,28/08/23
PROJ17016,JMAN316,11/02/24,11/04/24
PROJ17016,JMAN139,02/09/24,01/11/24
PROJ17016,JMAN459,23/06/23,22/08/23
PROJ17016,JMAN570,26/07/24,24/09/24
PROJ17016,JMAN694,29/08/23,28/10/23
PROJ17016,JMAN956,19/08/24,18/10/24
PROJ17016,JMAN166,19/08/24,18/10/24
PROJ91431,JMAN271,16/02/23,17/04/23
PROJ91431,JMAN554,21/02/23,22/04/23
PROJ91431,JMAN155,27/02/23,28/04/23
PROJ91431,JMAN996,12/03/23,11/05/23
PROJ91431,JMAN308,12/03/23,11/05/23
PROJ91431,JMAN652,18/03/23,17/05/23
PROJ91431,JMAN731,15/02/23,16/04/23
PROJ91431,JMAN500,30/01/23,31/03/23
PROJ91431,JMAN310,03/02/23,04/04/23
PROJ91431,JMAN619,04/02/23,05/04/23
PROJ91431,JMAN124,28/02/23,29/04/23
PROJ91431,JMAN278,01/03/23,30/04/23
PROJ91431,JMAN618,19/02/23,20/04/23
PROJ91431,JMAN54,09/03/23,08/05/23
PROJ91431,JMAN260,19/02/23,20/04/23
PROJ91431,JMAN431,15/02/23,16/04/23
PROJ91431,JMAN729,15/02/23,16/04/23
PROJ91431,JMAN350,02/02/23,03/04/23
PROJ91431,JMAN776,23/02/23,24/04/23
PROJ91431,JMAN522,21/02/23,22/04/23
PROJ91431,JMAN971,04/02/23,05/04/23
PROJ91431,JMAN945,01/03/23,30/04/23
PROJ91431,JMAN468,04/03/23,03/05/23
PROJ91431,JMAN29,23/02/23,24/04/23
PROJ91431,JMAN401,15/03/23,14/05/23
PROJ91431,JMAN566,16/02/23,17/04/23
PROJ91431,JMAN627,16/02/23,17/04/23
PROJ91431,JMAN758,20/02/23,21/04/23
PROJ91431,JMAN970,16/03/23,15/05/23
PROJ91431,JMAN700,08/03/23,07/05/23
PROJ91431,JMAN873,05/03/23,04/05/23
PROJ91431,JMAN981,03/03/23,02/05/23
PROJ91431,JMAN588,23/02/23,24/04/23
PROJ91431,JMAN249,21/02/23,22/04/23
PROJ91431,JMAN275,09/03/23,08/05/23
PROJ91431,JMAN142,14/02/23,15/04/23
PROJ91431,JMAN925,17/02/23,18/04/23
PROJ91431,JMAN930,07/02/23,08/04/23
PROJ16775,JMAN126,26/11/23,25/01/24
PROJ16775,JMAN488,03/06/23,02/08/23
PROJ16775,JMAN917,24/03/24,23/05/24
PROJ16775,JMAN377,29/08/24,28/10/24
PROJ16775,JMAN896,11/11/23,10/01/24
PROJ16775,JMAN702,24/08/24,23/10/24
PROJ16775,JMAN752,06/02/24,06/04/24
PROJ16775,JMAN548,12/09/24,11/11/24
PROJ16775,JMAN835,11/10/24,10/12/24
PROJ16775,JMAN124,18/08/24,17/10/24
PROJ16775,JMAN856,24/03/23,23/05/23
PROJ16775,JMAN644,14/08/23,13/10/23
PROJ16775,JMAN983,16/12/23,14/02/24
PROJ16775,JMAN264,15/11/24,14/01/25
PROJ16775,JMAN602,22/07/24,20/09/24
PROJ16775,JMAN327,04/03/24,03/05/24
PROJ16775,JMAN1,08/04/23,07/06/23
PROJ16775,JMAN9,13/04/23,12/06/23
PROJ16775,JMAN369,28/12/23,26/02/24
PROJ16775,JMAN261,15/02/24,15/04/24
PROJ16775,JMAN971,12/05/24,11/07/24
PROJ16775,JMAN411,08/05/24,07/07/24
PROJ16775,JMAN95,25/05/24,24/07/24
PROJ16775,JMAN541,03/04/23,02/06/23
PROJ16775,JMAN459,09/10/23,08/12/23
PROJ16775,JMAN802,21/12/23,19/02/24
PROJ16775,JMAN414,18/01/24,18/03/24
PROJ16775,JMAN203,02/07/23,31/08/23
PROJ16775,JMAN257,18/04/24,17/06/24
PROJ16775,JMAN267,07/06/24,06/08/24
PROJ16775,JMAN700,08/09/24,07/11/24
PROJ16775,JMAN517,16/04/23,15/06/23
PROJ16775,JMAN237,28/09/23,27/11/23
PROJ16775,JMAN285,10/08/24,09/10/24
PROJ16775,JMAN249,05/02/24,05/04/24
PROJ16775,JMAN891,19/04/23,18/06/23
PROJ16775,JMAN570,24/06/23,23/08/23
PROJ16775,JMAN663,10/10/23,09/12/23
PROJ77549,JMAN603,06/05/24,05/07/24
PROJ77549,JMAN377,01/08/24,30/09/24
PROJ77549,JMAN920,19/11/23,18/01/24
PROJ77549,JMAN974,07/02/24,07/04/24
PROJ77549,JMAN969,03/04/24,02/06/24
PROJ77549,JMAN289,17/11/23,16/01/24
PROJ77549,JMAN659,04/07/24,02/09/24
PROJ77549,JMAN454,20/06/24,19/08/24
