_id,projectId,userId,startDate,endDate
66154943efd9a45992622f53,PROJ42282,JMAN379,10/01/24,10/03/24
66154943efd9a45992622f54,PROJ42282,JMAN159,21/09/23,20/11/23
66154943efd9a45992622f55,PROJ42282,JMAN44,05/07/24,03/09/24
66154943efd9a45992622f56,PROJ42282,JMAN904,18/06/24,17/08/24
66154943efd9a45992622f57,PROJ42282,JMAN577,27/08/24,26/10/24
66154943efd9a45992622f58,PROJ42282,JMAN553,29/09/23,28/11/23
66154943efd9a45992622f59,PROJ42282,JMAN860,24/02/24,24/04/24
66154943efd9a45992622f5a,PROJ42282,JMAN659,08/08/24,07/10/24
66154943efd9a45992622f5b,PROJ42282,JMAN580,21/08/24,20/10/24
66154943efd9a45992622f5c,PROJ42282,JMAN993,14/02/24,14/04/24
66154943efd9a45992622f5d,PROJ42282,JMAN22,04/01/24,04/03/24
66154943efd9a45992622f5e,PROJ42282,JMAN678,11/02/24,11/04/24
66154943efd9a45992622f5f,PROJ42282,JMAN728,26/08/24,25/10/24
66154943efd9a45992622f60,PROJ42282,JMAN602,05/05/24,04/07/24
66154943efd9a45992622f61,PROJ42282,JMAN929,09/03/24,08/05/24
66154943efd9a45992622f62,PROJ42282,JMAN282,31/10/23,30/12/23
66154943efd9a45992622f63,PROJ42282,JMAN23,22/06/24,21/08/24
66154943efd9a45992622f64,PROJ42282,JMAN882,24/02/24,24/04/24
66154943efd9a45992622f65,PROJ42282,JMAN543,24/02/24,24/04/24
66154943efd9a45992622f66,PROJ42282,JMAN894,24/05/24,23/07/24
66154943efd9a45992622f67,PROJ42282,JMAN472,18/04/24,17/06/24
66154943efd9a45992622f68,PROJ42282,JMAN417,08/01/24,08/03/24
66154943efd9a45992622f69,PROJ42282,JMAN12,10/08/24,09/10/24
66154943efd9a45992622f6a,PROJ42282,JMAN991,17/11/23,16/01/24
66154943efd9a45992622f6b,PROJ42282,JMAN413,22/08/23,21/10/23
66154943efd9a45992622f6c,PROJ42282,JMAN106,31/08/23,30/10/23
66154943efd9a45992622f6d,PROJ42282,JMAN174,30/07/23,28/09/23
66154943efd9a45992622f6e,PROJ42282,JMAN111,26/09/24,25/11/24
66154943efd9a45992622f6f,PROJ42282,JMAN892,24/03/24,23/05/24
66154943efd9a45992622f70,PROJ42282,JMAN444,08/08/24,07/10/24
66154943efd9a45992622f71,PROJ42282,JMAN706,27/07/24,25/09/24
66154943efd9a45992622f72,PROJ42282,JMAN798,05/08/23,04/10/23
66154943efd9a45992622f73,PROJ42282,JMAN56,07/05/24,06/07/24
66154943efd9a45992622f74,PROJ42282,JMAN249,13/03/24,12/05/24
66154943efd9a45992622f75,PROJ42282,JMAN930,28/04/24,27/06/24
66154943efd9a45992622f76,PROJ42282,JMAN614,25/06/24,24/08/24
66154943efd9a45992622f77,PROJ42282,JMAN275,10/08/24,09/10/24
66154943efd9a45992622f78,PROJ42282,JMAN304,12/11/23,11/01/24
66154943efd9a45992622f79,PROJ53767,JMAN406,27/10/23,26/12/23
66154943efd9a45992622f7a,PROJ53767,JMAN693,15/07/23,13/09/23
66154943efd9a45992622f7b,PROJ53767,JMAN853,31/12/23,29/02/24
66154943efd9a45992622f7c,PROJ53767,JMAN123,05/10/23,04/12/23
66154943efd9a45992622f7d,PROJ53767,JMAN721,13/12/22,11/02/23
66154943efd9a45992622f7e,PROJ53767,JMAN644,29/09/23,28/11/23
66154943efd9a45992622f7f,PROJ53767,JMAN804,28/03/23,27/05/23
66154943efd9a45992622f80,PROJ53767,JMAN992,25/11/22,24/01/23
66154943efd9a45992622f81,PROJ53767,JMAN529,26/06/23,25/08/23
66154943efd9a45992622f82,PROJ53767,JMAN271,28/11/22,27/01/23
66154943efd9a45992622f83,PROJ53767,JMAN62,02/02/24,02/04/24
66154943efd9a45992622f84,PROJ53767,JMAN479,09/03/23,08/05/23
66154943efd9a45992622f85,PROJ53767,JMAN219,04/03/23,03/05/23
66154943efd9a45992622f86,PROJ53767,JMAN937,08/09/23,07/11/23
66154943efd9a45992622f87,PROJ53767,JMAN983,31/12/22,01/03/23
66154943efd9a45992622f88,PROJ53767,JMAN15,08/02/23,09/04/23
66154943efd9a45992622f89,PROJ53767,JMAN934,18/11/22,17/01/23
66154943efd9a45992622f8a,PROJ53767,JMAN369,02/12/22,31/01/23
66154943efd9a45992622f8b,PROJ53767,JMAN774,19/04/23,18/06/23
66154943efd9a45992622f8c,PROJ53767,JMAN52,26/01/24,26/03/24
66154943efd9a45992622f8d,PROJ53767,JMAN498,13/02/23,14/04/23
66154943efd9a45992622f8e,PROJ53767,JMAN802,29/06/23,28/08/23
66154943efd9a45992622f8f,PROJ53767,JMAN468,07/09/23,06/11/23
66154943efd9a45992622f90,PROJ53767,JMAN705,09/01/23,10/03/23
66154943efd9a45992622f91,PROJ53767,JMAN819,01/02/23,02/04/23
66154943efd9a45992622f92,PROJ53767,JMAN700,28/09/23,27/11/23
66154943efd9a45992622f93,PROJ53767,JMAN566,24/09/23,23/11/23
66154943efd9a45992622f94,PROJ53767,JMAN995,13/06/23,12/08/23
66154943efd9a45992622f95,PROJ53767,JMAN758,21/07/23,19/09/23
66154943efd9a45992622f96,PROJ53767,JMAN981,08/10/23,07/12/23
66154943efd9a45992622f97,PROJ53767,JMAN257,06/08/23,05/10/23
66154943efd9a45992622f98,PROJ53767,JMAN506,31/12/22,01/03/23
66154943efd9a45992622f99,PROJ53767,JMAN518,23/10/23,22/12/23
66154943efd9a45992622f9a,PROJ53767,JMAN504,22/11/22,21/01/23
66154943efd9a45992622f9b,PROJ53767,JMAN767,02/09/23,01/11/23
66154943efd9a45992622f9c,PROJ53767,JMAN863,15/11/23,14/01/24
66154943efd9a45992622f9d,PROJ53767,JMAN14,11/01/23,12/03/23
66154943efd9a45992622f9e,PROJ53767,JMAN976,01/05/23,30/06/23
66154943efd9a45992622f9f,PROJ34633,JMAN131,12/01/24,12/03/24
66154943efd9a45992622fa0,PROJ34633,JMAN849,06/10/23,05/12/23
66154943efd9a45992622fa1,PROJ34633,JMAN454,14/10/23,13/12/23
66154943efd9a45992622fa2,PROJ34633,JMAN853,08/08/24,07/10/24
66154943efd9a45992622fa3,PROJ34633,JMAN714,10/07/24,08/09/24
66154943efd9a45992622fa4,PROJ34633,JMAN114,19/04/24,18/06/24
66154943efd9a45992622fa5,PROJ34633,JMAN51,11/12/23,09/02/24
66154943efd9a45992622fa6,PROJ34633,JMAN308,04/12/23,02/02/24
66154943efd9a45992622fa7,PROJ34633,JMAN324,10/06/24,09/08/24
66154943efd9a45992622fa8,PROJ34633,JMAN619,29/06/24,28/08/24
66154943efd9a45992622fa9,PROJ34633,JMAN479,06/02/24,06/04/24
66154943efd9a45992622faa,PROJ34633,JMAN689,08/12/23,06/02/24
66154943efd9a45992622fab,PROJ34633,JMAN486,26/05/24,25/07/24
66154943efd9a45992622fac,PROJ34633,JMAN37,03/09/23,02/11/23
66154943efd9a45992622fad,PROJ34633,JMAN382,18/07/24,16/09/24
66154943efd9a45992622fae,PROJ34633,JMAN327,23/05/24,22/07/24
66154943efd9a45992622faf,PROJ34633,JMAN886,15/06/24,14/08/24
66154943efd9a45992622fb0,PROJ34633,JMAN135,16/04/24,15/06/24
